TICKER|COMPANY|TRADES|LAST_PRICE|PRICE_CHANGE
VIVA3|Vivara|1298400|22.38|-1.84
PSSA3|Porto Seguro|1297900|50.80|-0.68
BMGB4|Banco BMG|1265300|5.78|-0.69
EVEN3|Even|1247500|4.15|-3.26
LJQQ3|Lojas Quero-Quero|1230700|1.28|+2.40
SMTO3|São Martinho|1229700|20.25|-1.60
MTRE3|Mitre Realty|1222200|3.46|-0.86
AMAR3|Lojas Marisa|1212100|0.90|+15.38
CASH3|Méliuz|1201900|5.43|+1.69
RAPT4|Randon|1199300|4.89|-0.20
PINE4|Banco Pine|1178500|11.34|+0.62
JALL3|Jalles Machado|1156100|2.53|-1.17
USIM3|Usiminas|1141800|7.15|+0.99
GFSA3|Gafisa|1128500|0.21|+0.00
SAPR11|Sanepar|1025300|35.08|-3.12
HBSA3|Hidrovias do Brasil|1023000|3.38|+0.90
MDNE3|Moura Dubeux|997300|25.27|-3.92
SOJA3|Boa Safra Sementes|920900|7.95|+0.25
KEPL3|Kepler Weber|890900|6.77|+0.59
JSLG3|JSL|859400|5.98|-0.17
FIQE3|Unifique|843900|5.09|+0.59
KLBN3|Klabin|837700|4.13|+0.00
SEER3|Ser Educacional|791400|13.67|-2.64
MDIA3|M Dias Branco|785100|17.23|+0.35
VVEO3|Viveo|784300|0.79|-2.47
PNVL3|Dimed|750400|12.69|-2.53
FESA4|Ferbasa|746100|5.86|-0.51
PTBL3|Portobello|733700|1.58|+3.27
LAVV3|Lavvi Incorporadora|731800|10.62|-3.28
PASS3|COMPASS|701600|23.80|-0.67
UNIP6|Unipar|675100|56.66|-1.13
INTB3|Intelbras|664800|15.16|+0.13
DASA3|Dasa|661600|2.69|-2.54
MYPK3|Iochpe-Maxion|651600|9.68|-0.82
RANI3|Irani|637700|7.81|-0.76
TFCO4|Track & Field|624300|12.64|-2.39
OPCT3|OceanPact|616100|11.10|-1.33
VSTE3|LE LIS BLANC|606600|2.11|-8.26
POSI3|Positivo|605200|3.40|-0.87
ENJU3|Enjoei|585400|0.77|-2.53
VTRU3|VITRUBREPCOM|562600|14.49|-1.29
ALUP11|Alupar|558600|33.39|-1.53
PRNR3|Priner|515100|17.85|-0.83
DESK3|Desktop|503700|19.02|+0.74
TASA4|Taurus|493300|5.84|+0.86
BMOB3|Bemobi|451700|25.54|-0.78
CSED3|Cruzeiro do Sul Educacional|434300|5.49|-1.08
MILS3|Mills|432900|15.82|+0.38
ABCB4|Banco ABC Brasil|426800|24.65|+0.24
MELK3|Melnick|407400|3.00|+2.74
SEQL3|Sequoia Logística|406100|0.06|-14.29
ALLD3|Allied|381900|5.10|-1.92
AMBP3|Ambipar|379900|0.14|+0.00
SYNE3|SYN|361800|3.72|-2.36
SHUL4|Schulz|358700|4.46|-1.11
AGRO3|BrasilAgro|337800|19.23|+0.58
LPSB3|Lopes|312100|1.28|-1.54
LOGG3|LOG CP|297000|23.70|-2.35
HBRE3|HBR Realty|283800|2.64|-0.38
WIZC3|Wiz Soluções|278700|7.91|-1.12
BLAU3|Blau Farmacêutica|268400|9.87|+2.92
HBOR3|Helbor|265600|2.13|-1.39
TAEE4|Taesa|248300|13.86|-1.14
TUPY3|Tupy|237900|15.34|-2.79
RCSL3|Recrusul|215900|0.42|-2.33
BRBI11|BR Partners|192700|14.27|+0.71
TGMA3|Tegma|186300|34.06|+0.18
TRIS3|Trisul|179100|4.92|-1.80
FRAS3|Fras-le|168700|23.14|+1.22
LEVE3|Mahle Metal Leve|157900|32.75|-0.58
MATD3|Mater Dei|156000|4.98|-1.78
ALPK3|Estapar|151000|4.32|-1.14
BRST3|Brisanet|149800|2.81|-1.40
MEAL3|IMC Alimentação|149000|0.74|+5.71
IFCM3|Infracommerce|143300|1.68|-2.89
LAND3|Terra Santa|143200|10.00|+3.84
CYRE4|Cyrela|142600|23.83|-1.12
